Line,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Bakerloo,HARROW & WEALDSTONE,KENTON,1.74,2.23,2.5,2.5
Bakerloo,KENTON,SOUTH KENTON,1.4,1.88,2,2
Bakerloo,SOUTH KENTON,NORTH WEMBLEY,0.9,1.5,1.5,1.5
Bakerloo,NORTH WEMBLEY,WEMBLEY CENTRAL,1.27,1.92,2.06,2.06
Bakerloo,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.13,3.13
Bakerloo,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.4,2.4
Bakerloo,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23
Bakerloo,WILLESDEN JUNCTION,KENSAL GREEN,1.5,2.47,2.5,2.5
Bakerloo,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72
Bakerloo,QUEENS PARK,KILBURN PARK,0.79,1.42,1.5,1.5
Bakerloo,KILBURN PARK,MAIDA VALE,0.88,1.48,2,2
Bakerloo,MAIDA VALE,WARWICK AVENUE,0.79,1.5,1.5,1.5
Bakerloo,WARWICK AVENUE,PADDINGTON,0.88,1.58,2,2
Bakerloo,PADDINGTON,EDGWARE ROAD,0.72,1.57,1.5,1.5
Bakerloo,EDGWARE ROAD,MARYLEBONE,0.45,1.12,1.5,1.5
Bakerloo,MARYLEBONE,BAKER STREET,0.5,1.17,1.5,1.5
Bakerloo,BAKER STREET,REGENTS PARK,0.88,1.68,2,2
Bakerloo,REGENTS PARK,OXFORD CIRCUS,0.87,1.85,2,2
Bakerloo,OXFORD CIRCUS,PICCADILLY CIRCUS,0.97,1.95,2.48,2.48
Bakerloo,PICCADILLY CIRCUS,CHARING CROSS,0.55,1.35,1.5,1.5
Bakerloo,CHARING CROSS,EMBANKMENT,0.37,0.95,1.5,1.5
Bakerloo,EMBANKMENT,WATERLOO,0.71,1.43,1.5,1.5
Bakerloo,WATERLOO,LAMBETH NORTH,0.63,1.45,2,2
Bakerloo,LAMBETH NORTH,ELEPHANT & CASTLE,0.82,2.57,2.5,2.5
Bakerloo,ELEPHANT & CASTLE,LAMBETH NORTH,0.82,2.13,2,2
Bakerloo,LAMBETH NORTH,WATERLOO,0.63,1.45,2.06,2.06
Bakerloo,WATERLOO,EMBANKMENT,0.71,1.22,1.5,1.5
Bakerloo,EMBANKMENT,CHARING CROSS,0.37,0.97,1,1
Bakerloo,CHARING CROSS,PICCADILLY CIRCUS,0.55,1.6,2,2
